tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0060694,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1967,93,a midsummer nights dream,7.3,31,01/01/24 15:30,03/01/24
tt0061788,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1967,100,how i spent my summer vacation,7,231,01/01/24 15:30,03/01/24
tt0062009,movie,Double Suicide: Japanese Summer,Muri shinjû: Nihon no natsu,1967,98,double suicide japanese summer,6.7,901,01/01/24 15:30,03/01/24
tt0062322,movie,Dry Summer,Susuz Yaz,1963,90,dry summer,7.8,5811,01/01/24 15:30,03/01/24
tt0062484,movie,Uneasy Summer,Wenn es Nacht wird auf der Reeperbahn,1967,98,uneasy summer,6.3,139,01/01/24 15:30,03/01/24
tt0062619,movie,One Swedish Summer,...som havets nakna vind,1968,105,one swedish summer,3.9,166,01/01/24 15:30,03/01/24
tt0063223,movie,Summer of the Lion,Lejonsommar,1968,86,summer of the lion,6.3,48,01/01/24 16:30,03/01/24
tt0063297,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1968,124,a midsummer nights dream,6.5,898,01/01/24 16:30,03/01/24
tt0063351,movie,Summer in Narita,Nihon Kaiho sensen: Sanrizuka no natsu,1968,108,summer in narita,7.3,54,01/01/24 16:30,03/01/24
tt0063527,movie,Capricious Summer,Rozmarné léto,1968,74,capricious summer,6.9,1635,01/01/24 16:30,03/01/24
tt0063544,movie,Farewell to the Summer Light,Saraba natsu no hikari,1968,96,farewell to the summer light,6.8,266,01/01/24 16:30,03/01/24
tt0064573,movie,Last Summer,Last Summer,1969,95,last summer,6.9,2197,01/01/24 16:30,03/01/24
tt0064761,movie,One Brief Summer,One Brief Summer,1971,86,one brief summer,5.9,26,01/01/24 16:30,03/01/24
tt0064808,movie,The Picasso Summer,The Picasso Summer,1969,90,the picasso summer,5.2,380,01/01/24 16:30,03/01/24
tt0065618,movie,Dead of Summer,Ondata di calore,1970,89,dead of summer,6.3,121,01/01/24 16:30,03/01/24
tt0065701,movie,Erika's Hot Summer,Erika's Hot Summer,1971,65,erikas hot summer,4.1,111,01/01/24 16:30,03/01/24
tt0065973,movie,Summer Love,Le Mans scorciatoia per l'inferno,1970,92,summer love,4.7,77,01/01/24 16:30,03/01/24
tt0066421,movie,Summer in the City,Summer in the City,1971,116,summer in the city,5.8,349,01/01/24 16:30,03/01/24
tt0067028,movie,In the Summertime,Durante l'estate,1971,105,in the summertime,7.6,71,01/01/24 16:30,03/01/24
tt0067803,movie,Summer of '42,Summer of '42,1971,104,summer of 42,7.2,9228,01/01/24 16:30,03/01/24
tt0067804,movie,Summertree,Summertree,1971,88,summertree,5.7,380,01/01/24 16:30,03/01/24
tt0068992,movie,Dear Summer Sister,Natsu no imôto,1972,96,dear summer sister,6.3,224,01/01/24 16:30,03/01/24
tt0069120,movie,Indian Summer,La prima notte di quiete,1972,132,indian summer,7.2,2689,01/01/24 16:30,03/01/24
tt0069319,movie,Raid in the Summer,Strandhugg i somras,1972,88,raid in the summer,4.3,69,01/01/24 16:30,03/01/24
tt0069329,movie,Summer Soldiers,Samâ sorujâ,1972,107,summer soldiers,6.3,172,01/01/24 16:30,03/01/24
