tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0145942,tvMovie,One Hot Summer Night,One Hot Summer Night,1998,100,one hot summer night,4.6,247,01/01/24 19:30,07/01/24
tt0157391,movie,White Horses of Summer,Bianchi cavalli d'Agosto,1975,89,white horses of summer,6,60,01/01/24 19:30,07/01/24
tt0160865,movie,New Kimagure Orange Road: Summer's Beginning,"Shin Kimagure Orenji Rôdo: Soshite, ano natsu no hajimari",1996,100,new kimagure orange road summers beginning,7.4,313,01/01/24 19:30,07/01/24
tt0162677,movie,Summer of Sam,Summer of Sam,1999,142,summer of sam,6.7,41927,01/01/24 19:30,07/01/24
tt0163264,movie,The Summer of the Hawk,Der Sommer des Falken,1988,106,the summer of the hawk,7.2,46,01/01/24 19:30,07/01/24
tt0168123,movie,A Long Hot Summer,Pitkä kuuma kesä,1999,100,a long hot summer,7,2727,01/01/24 19:30,07/01/24
tt0168198,movie,Summer Lightning,Summer Lightning,1985,NA,summer lightning,6.9,11,01/01/24 19:30,07/01/24
tt0171296,tvMovie,Basque Summer,Euzkadi été 1982,2003,55,basque summer,6.6,54,01/01/24 19:30,07/01/24
tt0171747,tvMovie,Sweet Games of Last Summer,Sladké hry minulého léta,1970,66,sweet games of last summer,6.3,133,01/01/24 19:30,07/01/24
tt0173151,tvMovie,Summer of Old Times,Régi nyár,1969,90,summer of old times,6.4,27,01/01/24 19:30,07/01/24
tt0174246,tvMovie,A Storm in Summer,A Storm in Summer,1970,90,a storm in summer,8.4,55,01/01/24 19:30,07/01/24
tt0174507,movie,Blue Lagoon: A Summer Experience,Hitonatsu no taiken: aoi sangosho,1981,68,blue lagoon a summer experience,6.1,64,01/01/24 19:30,07/01/24
tt0175820,movie,Concert at the End of Summer,Koncert na konci léta,1980,102,concert at the end of summer,6.5,35,01/01/24 19:30,07/01/24
tt0176164,tvMovie,A Midsummer Night's Dream,Le songe d'une nuit d'été,1969,141,a midsummer nights dream,8.4,45,01/01/24 19:30,07/01/24
tt0179328,movie,Little Summer Blues,Malé letní blues,1968,71,little summer blues,6.5,22,01/01/24 19:30,07/01/24
tt0179479,tvMovie,Summer Camp,Summer Camp,1978,62,summer camp,6.4,20,01/01/24 19:30,07/01/24
tt0180834,movie,A Quiet Summer,Mirno leto,1961,99,a quiet summer,8,105,01/01/24 19:30,07/01/24
tt0183320,movie,Midsummer Stories,Juhannustarinoita,1997,49,midsummer stories,7,24,01/01/24 19:30,07/01/24
tt0187852,movie,Summer's End,Fin d'été,1999,68,summers end,5.6,26,01/01/24 19:30,07/01/24
tt0188214,movie,Summer's Gone,Summer's Gone,1999,96,summers gone,6.4,12,01/01/24 19:30,07/01/24
tt0189660,movie,The Longest Summer,Hui nin yin fa dak bit doh,1998,128,the longest summer,7.2,487,01/01/24 19:30,07/01/24
tt0192644,tvMovie,Summer's End,Summer's End,1999,101,summers end,7.1,473,01/01/24 19:30,07/01/24
tt0193537,movie,Summer Rain,Summer Rain,2001,92,summer rain,4.1,112,01/01/24 19:30,07/01/24
tt0195517,tvMovie,All Summer in a Day,All Summer in a Day,1982,25,all summer in a day,7.6,504,01/01/24 19:30,07/01/24
tt0202618,movie,That Summer in LA,That Summer in LA,2000,NA,that summer in la,7.8,20,01/01/24 20:30,07/01/24
tt0204342,movie,Summer of the Moonlight Sonata,Gekko no natsu,1993,NA,summer of the moonlight sonata,7.6,10,01/01/24 20:30,07/01/24
tt0204932,movie,A Summer Tale,Den bästa sommaren,2000,91,a summer tale,7.3,4596,01/01/24 20:30,07/01/24
tt0210654,movie,Donald Duck's Summer Magic,Donald Duck's Summer Magic,1977,75,donald ducks summer magic,6.6,50,01/01/24 20:30,07/01/24
tt0214555,movie,Bullets Over Summer,Bau lit ying ging,1999,92,bullets over summer,6.7,846,01/01/24 20:30,07/01/24
tt0215519,movie,Anna's Summer,Annas Sommer,2001,107,annas summer,5.6,129,01/01/24 20:30,07/01/24
tt0217066,tvMovie,A Storm in Summer,A Storm in Summer,2000,94,a storm in summer,6.9,517,01/01/24 20:30,07/01/24
tt0218643,tvMovie,Summer in the Suburbs,Summer in the Suburbs,2000,90,summer in the suburbs,6.2,72,01/01/24 20:30,07/01/24
tt0218932,tvMovie,The Last Summer,Le dernier été,1997,81,the last summer,6.6,74,01/01/24 20:30,07/01/24
tt0220077,movie,The Summer Intern,The Summer Intern,2000,116,the summer intern,6.4,17,01/01/24 20:30,07/01/24
tt0221249,movie,Summer Hotel,Hotel de verano,1944,95,summer hotel,6,13,01/01/24 20:30,07/01/24
tt0226121,movie,Summer of Evil,Masho no natsu - 'Yotsuya kaidan' yori,1981,96,summer of evil,4.6,28,01/01/24 20:30,07/01/24
tt0228584,movie,One Day at Summer's End,Nureta futari,1968,82,one day at summers end,5.7,32,01/01/24 20:30,07/01/24
tt0234829,movie,Summer Catch,Summer Catch,2001,104,summer catch,5.1,16750,01/01/24 20:30,07/01/24
tt0241972,movie,Summer Dream,Sonho de Verão,1990,80,summer dream,4.7,190,01/01/24 20:30,07/01/24
tt0242916,movie,Summer Children,Summer Children,1965,90,summer children,7.3,53,01/01/24 20:30,07/01/24
tt0243315,video,Hot Body Competition: Summer Wet T Shirt Finals,Hot Body Competition: Summer Wet T Shirt Finals,1999,90,hot body competition summer wet t shirt finals,7.8,13,01/01/24 20:30,07/01/24
tt0243655,movie,Wet Hot American Summer,Wet Hot American Summer,2001,97,wet hot american summer,6.5,61008,01/01/24 20:30,07/01/24
tt0247527,movie,Spring Night Summer Night,Spring Night Summer Night,1967,82,spring night summer night,7.1,758,01/01/24 20:30,07/01/24
tt0247530,movie,Mississippi Summer,Mississippi Summer,1971,88,mississippi summer,6.5,11,01/01/24 20:30,07/01/24
tt0253197,movie,Sinner in the Summer Sun,Syndare i sommarsol,2001,98,sinner in the summer sun,4.7,171,01/01/24 20:30,07/01/24
tt0255374,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1981,156,a midsummer nights dream,7.3,35,01/01/24 20:30,07/01/24
tt0259741,movie,Summer Holiday,Ha yat dik mo mo cha,2000,98,summer holiday,5.8,534,01/01/24 20:30,07/01/24
tt0263321,movie,Roman Summer,Estate romana,2000,90,roman summer,6.2,335,01/01/24 20:30,07/01/24
tt0265548,movie,A Summer in a Sea Shell,Poletje v skoljki,1985,95,a summer in a sea shell,7.2,470,01/01/24 20:30,07/01/24
tt0265612,movie,Rain for a Dusty Summer,Rain for a Dusty Summer,1971,93,rain for a dusty summer,4.7,70,01/01/24 20:30,07/01/24
tt0268668,video,Summer in Holland,Summer in Holland,1992,60,summer in holland,7.5,10,01/01/24 20:30,07/01/24
tt0271062,tvMovie,Midsummer Rock,Midsummer Rock,1970,90,midsummer rock,6.9,23,01/01/24 20:30,07/01/24
tt0271853,movie,A Savage Summer,Un été sauvage,1970,93,a savage summer,5.8,34,01/01/24 20:30,07/01/24
tt0273191,tvMovie,Ellen De Generes: American Summer Documentary,Ellen De Generes: American Summer Documentary,2001,120,ellen de generes american summer documentary,8.5,37,01/01/24 20:30,07/01/24
tt0274114,movie,Summer in Bethlehem,Summer in Bethlehem,1998,143,summer in bethlehem,7.8,1625,01/01/24 20:30,07/01/24
tt0274917,movie,Sylvan Lake Summer,Sylvan Lake Summer,1990,95,sylvan lake summer,7.6,12,01/01/24 20:30,07/01/24
tt0275353,movie,Fists of Freedom: The Story of the '68 Summer Games,Fists of Freedom: The Story of the '68 Summer Games,1999,59,fists of freedom the story of the 68 summer games,7.6,107,01/01/24 20:30,07/01/24
tt0276538,movie,Summer of '69,Summer of '69,1969,55,summer of 69,5.8,24,01/01/24 20:30,07/01/24
tt0277714,movie,Funny Car Summer,Funny Car Summer,1974,88,funny car summer,5.7,87,01/01/24 20:30,07/01/24
tt0280128,movie,Summerdog,Summerdog,1977,90,summerdog,4.5,62,01/01/24 20:30,07/01/24
tt0280933,movie,Passing Summer,Mein langsames Leben,2001,85,passing summer,6.5,540,01/01/24 20:30,07/01/24
tt0283908,movie,Dangerous Summer,Baiga vasara,2000,112,dangerous summer,7.1,456,01/01/24 20:30,08/01/24
tt0285199,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1993,NA,how i spent my summer vacation,4.2,32,01/01/24 20:30,08/01/24
tt0286162,movie,Stolen Summer,Stolen Summer,2002,91,stolen summer,6.5,2895,01/01/24 20:30,08/01/24
tt0287481,movie,Secret of One Summer,Hitonatsu no himitsu,1979,72,secret of one summer,5.1,18,01/01/24 20:30,08/01/24
tt0289114,movie,The Children's Midsummer Night's Dream,The Children's Midsummer Night's Dream,2001,115,the childrens midsummer nights dream,5.8,31,01/01/24 20:30,08/01/24
tt0290875,movie,Summer,Summer,2002,93,summer,5.6,187,01/01/24 20:30,08/01/24
tt0290916,movie,Summer Things,Embrassez qui vous voudrez,2002,103,summer things,6.5,2587,01/01/24 20:30,08/01/24
tt0293280,movie,Indian Summer,Indian seommeo,2001,104,indian summer,6.3,132,01/01/24 20:30,08/01/24
tt0297316,movie,Summer Love,O da Beni Seviyor,2001,106,summer love,6.5,342,01/01/24 20:30,08/01/24
tt0297414,movie,Summertime,Sseommeotaim,2001,104,summertime,5.3,372,01/01/24 20:30,08/01/24
tt0299430,tvMovie,1st Annual Mystery Science Theater 3000 Summer Blockbuster Review,1st Annual Mystery Science Theater 3000 Summer Blockbuster Review,1997,23,1st annual mystery science theater 3000 summer blockbuster review,7.6,254,01/01/24 20:30,08/01/24
tt0303060,tvMovie,A Small Summer Party,A Small Summer Party,2001,50,a small summer party,7.5,84,01/01/24 20:30,08/01/24
tt0303101,tvMovie,Summer of Love,Summer of Love,2001,90,summer of love,5,56,01/01/24 20:30,08/01/24
tt0305589,tvMovie,Cold as Summer,Froid comme l'été,2002,88,cold as summer,7.1,173,01/01/24 20:30,08/01/24
tt0305747,movie,The Last Summer,The Last Summer,2004,95,the last summer,6.3,85,01/01/24 20:30,08/01/24
tt0307623,movie,From Spring to Summer,Utomlennoe solntse,1988,93,from spring to summer,6.3,32,01/01/24 20:30,08/01/24
tt0311314,movie,I Stayed in Berlin All Summer,Ich bin den Sommer über in Berlin geblieben,1994,47,i stayed in berlin all summer,6.7,50,01/01/24 20:30,08/01/24
tt0312808,movie,Indian Summer,Indian Summer,1987,97,indian summer,5.6,19,01/01/24 20:30,08/01/24
tt0317079,movie,And Then Came Summer,And Then Came Summer,2000,115,and then came summer,4.6,485,01/01/24 20:30,08/01/24
tt0322629,movie,Two Summers,Houve uma Vez Dois Verões,2002,75,two summers,7.1,809,01/01/24 20:30,08/01/24
tt0323248,movie,A Midsummer Night's Rave,A Midsummer Night's Rave,2002,85,a midsummer nights rave,5,556,01/01/24 20:30,08/01/24
tt0326383,movie,High Sky Summer,Wang Shouxian de xia tian,2002,87,high sky summer,5.7,30,01/01/24 20:30,08/01/24
tt0326639,movie,Summer of Fun,Summer of Fun,1997,62,summer of fun,3.3,55,01/01/24 20:30,08/01/24
tt0329701,movie,Two Summers,Two Summers,2002,118,two summers,6.6,41,01/01/24 20:30,08/01/24
tt0334611,movie,Savage Summer,Verano salvaje,1980,85,savage summer,6.5,37,01/01/24 20:30,08/01/24
tt0341600,tvMovie,Summer of Terror: The Real Son of Sam Story,Summer of Terror: The Real Son of Sam Story,2001,49,summer of terror the real son of sam story,6.6,17,01/01/24 20:30,08/01/24
tt0345678,movie,Memories of the Olympic Summer of 1952,Memories of the Olympic Summer of 1952,1954,50,memories of the olympic summer of 1952,6,78,01/01/24 20:30,08/01/24
tt0346525,movie,Arizona Summer,Arizona Summer,2004,102,arizona summer,4.6,297,01/01/24 20:30,08/01/24
tt0347159,tvMovie,Hemingway: That Summer in Paris,Hemingway vs. Callaghan,2003,180,hemingway that summer in paris,6.4,52,01/01/24 20:30,08/01/24
tt0348142,movie,Summer Storm,Summer Storm,2004,NA,summer storm,8,20,01/01/24 20:30,08/01/24
tt0353671,movie,Summer in the Golden Valley,Ljeto u zlatnoj dolini,2003,105,summer in the golden valley,7.1,1183,01/01/24 20:30,08/01/24
tt0355336,movie,A Cold Summer,A Cold Summer,2003,83,a cold summer,6,51,01/01/24 20:30,08/01/24
tt0356154,movie,Wolf Summer,Ulvesommer,2003,87,wolf summer,5.9,1231,01/01/24 20:30,08/01/24
tt0358303,movie,The Tenth Summer,Der zehnte Sommer,2003,98,the tenth summer,7.2,95,01/01/24 20:30,08/01/24
tt0358605,movie,Eve in a Summer Dress,Natsufuku no Ibu,1984,98,eve in a summer dress,5.5,10,01/01/24 20:30,08/01/24
tt0358981,movie,The Girls in Summer,El banat waal saif,1960,147,the girls in summer,6,109,01/01/24 20:30,08/01/24
tt0361032,video,Hootie & the Blowfish: Summer Camp with Trucks,Hootie & the Blowfish: Summer Camp with Trucks,1995,116,hootie  the blowfish summer camp with trucks,7.2,24,01/01/24 20:30,08/01/24
tt0362201,video,Summer Desire,Summer Desire,2001,85,summer desire,4.9,40,01/01/24 20:30,08/01/24
tt0363857,movie,An Athens Summer Night's Dream,Oneiro kalokairinis nyhtas,1999,75,an athens summer nights dream,7.8,22,01/01/24 20:30,08/01/24
tt0364144,movie,Olga's Summer,Olgas Sommer,2002,105,olgas summer,6,116,01/01/24 20:30,08/01/24
tt0365908,video,Walking the Tracks: The Summer of Stand by Me,Walking the Tracks: The Summer of Stand by Me,2000,37,walking the tracks the summer of stand by me,7.5,208,01/01/24 21:30,08/01/24
tt0367955,tvMovie,Last Summer,Last Summer,2000,52,last summer,7.7,11,01/01/24 21:30,08/01/24
tt0372175,movie,A Summer Rain,Bir yaz yagmuru,1961,85,a summer rain,5.7,15,01/01/24 21:30,08/01/24
tt0374546,movie,"Spring, Summer, Fall, Winter... and Spring",Bom yeoreum gaeul gyeoul geurigo bom,2003,103,spring summer fall winter and spring,8,87290,01/01/24 21:30,08/01/24
tt0375604,video,The Kids Who Saved Summer,The Kids Who Saved Summer,2004,71,the kids who saved summer,5.4,86,01/01/24 21:30,08/01/24
tt0378702,tvMovie,A Midsummer's Play,Sanct Hansaften-spil,1979,98,a midsummers play,7.6,10,01/01/24 21:30,08/01/24
tt0381685,movie,A Boy's Summer in 1945,Utsukushii natsu kirishima,2002,118,a boys summer in 1945,7,66,01/01/24 21:30,08/01/24
tt0382189,movie,My Summer of Love,My Summer of Love,2004,86,my summer of love,6.7,21941,01/01/24 21:30,08/01/24
tt0382868,movie,Nasu: Summer in Andalusia,Nasu: Andalusia no natsu,2003,47,nasu summer in andalusia,7,438,01/01/24 21:30,08/01/24
tt0384567,movie,Summer Thunder,Summer Thunder,2003,81,summer thunder,4.8,79,01/01/24 21:30,08/01/24
tt0385006,movie,How the Garcia Girls Spent Their Summer,How the Garcia Girls Spent Their Summer,2005,128,how the garcia girls spent their summer,6.1,667,01/01/24 21:30,08/01/24
tt0387005,tvMovie,2nd Annual Mystery Science Theater 3000 Summer Blockbuster Review,2nd Annual Mystery Science Theater 3000 Summer Blockbuster Review,1998,22,2nd annual mystery science theater 3000 summer blockbuster review,7.6,174,01/01/24 21:30,08/01/24
tt0388446,movie,Summer with the Ghosts,Summer with the Ghosts,2003,85,summer with the ghosts,5.5,116,01/01/24 21:30,08/01/24
tt0399811,movie,Summer Show,Um Show de Verão,2004,97,summer show,2.4,196,01/01/24 21:30,08/01/24
tt0402303,video,Justine: A Midsummer Night's Dream,Justine: A Midsummer Night's Dream,1997,88,justine a midsummer nights dream,5,104,01/01/24 21:30,08/01/24
tt0404469,movie,Summer Seductions,Summer Seductions,1988,95,summer seductions,4.2,16,01/01/24 21:30,08/01/24
tt0408229,movie,Summer Solstice,Summer Solstice,2003,111,summer solstice,5.1,76,01/01/24 21:30,08/01/24
tt0409878,video,Demon Summer,Demon Summer,2003,80,demon summer,3.1,178,01/01/24 21:30,08/01/24
tt0411645,movie,Our Summer,Meän kesä,2004,57,our summer,8.8,27,01/01/24 21:30,08/01/24
tt0411883,movie,Slutty Summer,Slutty Summer,2004,85,slutty summer,5.1,901,01/01/24 21:30,08/01/24
tt0415183,movie,Summer Clouds,Nubes de verano,2004,100,summer clouds,6.2,415,01/01/24 21:30,08/01/24
tt0420206,movie,Summer Storm,Sommersturm,2004,98,summer storm,7.3,14543,01/01/24 21:30,08/01/24
tt0420229,movie,Summer Story,Summer Story,2004,76,summer story,6.5,64,01/01/24 21:30,08/01/24
tt0422748,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1999,94,a midsummer nights dream,7.4,41,01/01/24 21:30,08/01/24
tt0431476,movie,A Passing Summer's Rain,Yaz Yagmuru,1994,98,a passing summers rain,4.3,15,01/01/24 21:30,08/01/24
tt0434372,video,Summer of Tomorrows,Summer of Tomorrows,2003,110,summer of tomorrows,6.8,25,01/01/24 21:30,08/01/24
tt0443123,movie,Midsummer Dream,El sueño de una noche de San Juan,2005,85,midsummer dream,4.6,426,01/01/24 21:30,08/01/24
tt0443740,video,The Endless Summer Revisited,The Endless Summer Revisited,2000,70,the endless summer revisited,7,87,01/01/24 21:30,08/01/24
tt0445508,movie,Summer Heat,Kuang lian shi,1968,91,summer heat,5.5,31,01/01/24 21:30,08/01/24
tt0447601,video,Alice's Naked Summer,Alice's Naked Summer,2004,58,alices naked summer,4.3,10,01/01/24 21:30,08/01/24
tt0449945,movie,Five Summer Stories,Five Summer Stories,1972,94,five summer stories,8.3,63,01/01/24 21:30,08/01/24
tt0451204,video,The Snowman Who Saved Summer,The Snowman Who Saved Summer,2002,22,the snowman who saved summer,3.5,13,01/01/24 21:30,08/01/24
tt0453369,movie,Her Summer,Her Summer,2004,80,her summer,6.1,36,01/01/24 21:30,08/01/24
tt0455946,movie,My Brother's Summer,L'estate di mio fratello,2005,82,my brothers summer,6.8,106,01/01/24 21:30,08/01/24
tt0457415,video,A Midsummer Night's Dream,A Midsummer Night's Dream,1999,89,a midsummer nights dream,5.4,42,01/01/24 21:30,08/01/24
tt0457538,movie,Summer Running: The Race to Cure Breast Cancer,Summer Running: The Race to Cure Breast Cancer,2006,75,summer running the race to cure breast cancer,6.5,21,01/01/24 21:30,08/01/24
tt0457596,video,The Monkees: Live Summer Tour,The Monkees: Live Summer Tour,2002,NA,the monkees live summer tour,8,39,01/01/24 21:30,08/01/24
tt0466405,movie,XxxHOLiC the Movie: A Midsummer Night's Dream,Gekijôban XXXHolic Manatsu no yoru no yume,2005,60,xxxholic the movie a midsummer nights dream,7.1,739,01/01/24 21:30,08/01/24
tt0466456,movie,Midsummer Madness,Midsummer Madness,2007,94,midsummer madness,5.9,609,01/01/24 21:30,08/01/24
tt0469111,video,I'll Always Know What You Did Last Summer,I'll Always Know What You Did Last Summer,2006,92,ill always know what you did last summer,3.4,13566,01/01/24 21:30,08/01/24
tt0469731,video,Ball Talk: Baseball's Voices of Summer,Ball Talk: Baseball's Voices of Summer,1989,50,ball talk baseballs voices of summer,5.3,16,01/01/24 21:30,08/01/24
tt0469785,movie,A Limousine the Colour of Midsummer's Eve,Limuzins Janu nakts krasa,1981,84,a limousine the colour of midsummers eve,8.6,1326,01/01/24 21:30,08/01/24
tt0469979,movie,Summer School,Summer School,2006,89,summer school,4.5,350,01/01/24 21:30,08/01/24
tt0475255,movie,Dog Days of Summer,Dog Days of Summer,2007,88,dog days of summer,5.6,462,01/01/24 21:30,08/01/24
tt0476007,movie,Revolution Summer,Revolution Summer,2007,90,revolution summer,5.4,92,01/01/24 21:30,08/01/24
tt0477273,movie,Summer Rain,El camino de los ingleses,2006,118,summer rain,5.5,1256,01/01/24 21:30,08/01/24
tt0477877,movie,Summer in Berlin,Sommer vorm Balkon,2005,107,summer in berlin,6.9,2967,01/01/24 21:30,09/01/24
tt0479172,tvMovie,Summer Breeze: The Isley Brothers Greatest Hits Live,Summer Breeze: The Isley Brothers Greatest Hits Live,2005,60,summer breeze the isley brothers greatest hits live,6.4,12,01/01/24 21:30,09/01/24
tt0479310,movie,Summer Nuts,Summer Nuts,2006,90,summer nuts,7.8,18,01/01/24 21:30,09/01/24
tt0486020,movie,Summer Love,Summer Love,2006,94,summer love,3.5,582,01/01/24 21:30,09/01/24
tt0489563,movie,Stealing Summer,Stealing Summer,2004,90,stealing summer,6.1,26,01/01/24 21:30,09/01/24
tt0494969,movie,The Last Summer,De laatste zomer,2007,95,the last summer,6.9,440,01/01/24 21:30,09/01/24
tt0498567,movie,Summer Time Machine Blues,Samâ taimu mashin burûsu,2005,107,summer time machine blues,7.1,1708,01/01/24 21:30,09/01/24
tt0757898,movie,Summer Heat,Kaleldo,2006,95,summer heat,6.2,95,01/01/24 21:30,09/01/24
tt0770724,movie,Boys of Summer,Boys of Summer,2006,95,boys of summer,8.7,52,01/01/24 21:30,09/01/24
tt0770824,tvMovie,A Summer Day,Un jour d'été,2006,91,a summer day,6.4,312,01/01/24 21:30,09/01/24
tt0776728,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,2005,157,a midsummer nights dream,8.4,17,01/01/24 21:30,09/01/24
tt0791303,movie,A Summer in Genoa,Genova,2008,93,a summer in genoa,6,6807,01/01/24 21:30,09/01/24
tt0794288,movie,The Summer of Stickleback,Hariyo no natsu,2006,99,the summer of stickleback,5.6,10,01/01/24 21:30,09/01/24
tt0794374,movie,Summer Palace,Yi He Yuan,2006,158,summer palace,7.2,4407,01/01/24 21:30,09/01/24
tt0806679,movie,Summer '04,Sommer '04,2006,97,summer 04,6.4,835,01/01/24 21:30,09/01/24
tt0807963,video,That One Summer,That One Summer,2005,84,that one summer,6.9,38,01/01/24 21:30,09/01/24
tt0808487,movie,Summercamp!,Summercamp!,2006,85,summercamp,6.6,152,01/01/24 21:30,09/01/24
tt0819735,movie,Summerhood,Summerhood,2008,88,summerhood,6.4,680,01/01/24 21:30,09/01/24
tt0819835,video,The Making of 'I'll Always Know What You Did Last Summer',The Making of 'I'll Always Know What You Did Last Summer',2006,27,the making of ill always know what you did last summer,4.2,70,01/01/24 21:30,09/01/24
tt0825745,movie,Silly's Sweet Summer,Blöde Mütze!,2007,90,sillys sweet summer,6.8,238,01/01/24 21:30,09/01/24
tt0827742,tvMovie,That Summer Day,That Summer Day,2006,53,that summer day,8.1,26,01/01/24 21:30,09/01/24
tt0829134,movie,Tracing the Gray Summer,Inochi no chikyuu: Daiokishin no natsu,2001,NA,tracing the gray summer,7.6,25,01/01/24 21:30,09/01/24
tt0834941,movie,A Plumm Summer,A Plumm Summer,2007,99,a plumm summer,6,434,01/01/24 21:30,09/01/24
tt0836700,movie,Summer Hours,L'heure d'été,2008,103,summer hours,7.1,8234,01/01/24 21:30,09/01/24
tt0844345,video,Summer's End: The Legend of Samhain,Summer's End: The Legend of Samhain,2001,72,summers end the legend of samhain,5.2,43,01/01/24 21:30,09/01/24
tt0846318,movie,Summer of the Flying Saucer,Summer of the Flying Saucer,2008,86,summer of the flying saucer,5.1,68,01/01/24 21:30,09/01/24
tt0847183,movie,That Special Summer,Kid Svensk,2007,90,that special summer,6,594,01/01/24 21:30,09/01/24
tt0847527,movie,Summer Scars,Summer Scars,2007,68,summer scars,5.2,675,01/01/24 21:30,09/01/24
tt0853002,movie,A Summer Song,A Summer Song,2010,NA,a summer song,6.8,10,01/01/24 21:30,09/01/24
tt0859622,tvMovie,The Last Day of Summer,The Last Day of Summer,2007,88,the last day of summer,5.2,743,01/01/24 21:30,09/01/24
tt0885520,movie,Eternal Summer,Sheng xia guang nian,2006,95,eternal summer,7,3244,01/01/24 21:30,09/01/24
tt0891342,video,Punk Rock Summer Camp,Punk Rock Summer Camp,1999,82,punk rock summer camp,8.5,22,01/01/24 21:30,09/01/24
tt0910904,movie,I Know How Many Runs You Scored Last Summer,I Know How Many Runs You Scored Last Summer,2008,80,i know how many runs you scored last summer,3.5,591,01/01/24 21:30,09/01/24
tt0923703,movie,Once in a Summer,Geuhae yeoreum,2006,121,once in a summer,7.2,1125,01/01/24 21:30,09/01/24
tt0928020,movie,Bad Boys of Summer,Bad Boys of Summer,2007,76,bad boys of summer,6.4,18,01/01/24 21:30,09/01/24
tt0929733,tvMovie,Bros in 2 Summer,Bros in 2 Summer,1989,NA,bros in 2 summer,8.1,11,01/01/24 21:30,09/01/24
tt0937373,movie,Summer Lover,Sappho,2008,88,summer lover,4.5,1882,01/01/24 21:30,09/01/24
tt0937428,video,The Summer of the Massacre,The Summer of the Massacre,2006,72,the summer of the massacre,3.1,115,01/01/24 21:30,09/01/24
tt0940584,movie,Boys of Summerville,Boys of Summerville,2008,96,boys of summerville,7,62,01/01/24 21:30,09/01/24
tt0955214,tvMovie,30 Years of 'Last of the Summer Wine',30 Years of 'Last of the Summer Wine',2003,60,30 years of last of the summer wine,8.4,18,01/01/24 21:30,09/01/24
tt0968327,video,T.M. Revolution: T.M.R. Live Revolution '02 - Best Summer Crush 2002,T.M. Revolution: T.M.R. Live Revolution '02 - Best Summer Crush 2002,2002,88,tm revolution tmr live revolution 02  best summer crush 2002,8.7,13,01/01/24 21:30,09/01/24
tt0969368,movie,Before the Summer Passes Away,Yeoreumi gagi-jeone,2006,78,before the summer passes away,8,27,01/01/24 21:30,09/01/24
tt0978695,movie,A Dream of the Summer Midnight,Roya-ye nime-shab-e tabestan,1994,90,a dream of the summer midnight,6.7,59,01/01/24 21:30,09/01/24
tt0995757,movie,Summer Heat,Zomerhitte,2008,96,summer heat,5.3,1508,01/01/24 21:30,09/01/24
tt1006945,movie,My Football Summer,Qi ji de xia tian,2006,103,my football summer,7.8,40,01/01/24 21:30,09/01/24
tt10195976,movie,My Best Summer,Zui hao de wo men,2019,109,my best summer,6,343,01/01/24 21:30,09/01/24
tt10199668,movie,Summer of Changsha,Liu Yu Tian,2019,120,summer of changsha,5.8,313,01/01/24 21:30,09/01/24
tt10224134,tvMovie,A Summer Romance,A Summer Romance,2019,87,a summer romance,6.7,2021,01/01/24 21:30,09/01/24
tt1022603,movie,500 Days of Summer,(500) Days of Summer,2009,95,500 days of summer,7.7,564894,01/01/24 21:30,09/01/24
tt10229338,video,Samantha's Sexy Summer,Samantha's Sexy Summer,2006,75,samanthas sexy summer,4.2,14,01/01/24 21:30,09/01/24
tt10229982,movie,My First Summer,My First Summer,2020,80,my first summer,6.7,2763,01/01/24 21:30,09/01/24
tt10345024,tvMovie,A Taste of Summer,A Taste of Summer,2019,82,a taste of summer,6.2,1317,01/01/24 21:30,09/01/24
tt10384514,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,2019,180,a midsummer nights dream,8.4,640,01/01/24 21:30,09/01/24
tt1042913,tvMovie,Summerhill,Summerhill,2008,120,summerhill,7.6,400,01/01/24 21:30,09/01/24
tt10449234,movie,Yang and His Summer,Hu yang de xia tian,2017,93,yang and his summer,6.4,12,01/01/24 21:30,09/01/24
tt10457128,movie,Summer of 85,Été 85,2020,101,summer of 85,6.9,13782,01/01/24 21:30,09/01/24
tt10483210,tvMovie,Ruisrock: 50 Summers by the Sea,Ruisrock - 50 kesää meren rannalla,2019,50,ruisrock 50 summers by the sea,6.1,14,01/01/24 21:30,09/01/24
tt10488396,movie,Summer Detective,Ping Yuan Shang De Xia Luo Ke,2019,98,summer detective,6.9,572,01/01/24 21:30,09/01/24
tt10492998,movie,I Hate Summer,Odio l'estate,2020,110,i hate summer,6.7,3715,01/01/24 21:30,09/01/24
tt10498020,movie,Rural Summer Vacation,Rural Summer Vacation,2019,92,rural summer vacation,5.4,11,01/01/24 21:30,09/01/24
tt1052058,tvMovie,The Wilder Summer,The Wilder Summer,1983,54,the wilder summer,8.9,31,01/01/24 21:30,09/01/24
tt10580248,video,a-ha: MTV Unplugged - Summer Solstice,a-ha: MTV Unplugged - Summer Solstice,2017,115,aha mtv unplugged  summer solstice,8.6,21,01/01/24 21:30,09/01/24
