,tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
45,tt0059562,movie,Crime on a Summer Morning,Par un beau matin d'été,1965.0,109.0,crime on a summer morning,6.3,405,01/01/24 15:30,03/01/24
46,tt0059771,movie,A Swingin' Summer,A Swingin' Summer,1965.0,80.0,a swingin summer,4.8,260,01/01/24 15:30,03/01/24
47,tt0060045,movie,10:30 P.M. Summer,10:30 P.M. Summer,1966.0,85.0,1030 pm summer,6.4,773,01/01/24 15:30,03/01/24
48,tt0060371,movie,The Endless Summer,The Endless Summer,1966.0,95.0,the endless summer,7.6,6298,01/01/24 15:30,03/01/24
49,tt0060694,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1967.0,93.0,a midsummer nights dream,7.3,31,01/01/24 15:30,03/01/24
50,tt0061788,tvMovie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1967.0,100.0,how i spent my summer vacation,7.0,231,01/01/24 15:30,03/01/24
51,tt0062009,movie,Double Suicide: Japanese Summer,Muri shinjû: Nihon no natsu,1967.0,98.0,double suicide japanese summer,6.7,901,01/01/24 15:30,03/01/24
52,tt0062322,movie,Dry Summer,Susuz Yaz,1963.0,90.0,dry summer,7.8,5811,01/01/24 15:30,03/01/24
53,tt0062484,movie,Uneasy Summer,Wenn es Nacht wird auf der Reeperbahn,1967.0,98.0,uneasy summer,6.3,139,01/01/24 15:30,03/01/24
54,tt0062619,movie,One Swedish Summer,...som havets nakna vind,1968.0,105.0,one swedish summer,3.9,166,01/01/24 15:30,03/01/24
55,tt0063223,movie,Summer of the Lion,Lejonsommar,1968.0,86.0,summer of the lion,6.3,48,01/01/24 16:30,03/01/24
56,tt0063297,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1968.0,124.0,a midsummer nights dream,6.5,898,01/01/24 16:30,03/01/24
57,tt0063351,movie,Summer in Narita,Nihon Kaiho sensen: Sanrizuka no natsu,1968.0,108.0,summer in narita,7.3,54,01/01/24 16:30,03/01/24
58,tt0063527,movie,Capricious Summer,Rozmarné léto,1968.0,74.0,capricious summer,6.9,1635,01/01/24 16:30,03/01/24
59,tt0063544,movie,Farewell to the Summer Light,Saraba natsu no hikari,1968.0,96.0,farewell to the summer light,6.8,266,01/01/24 16:30,03/01/24
60,tt0064573,movie,Last Summer,Last Summer,1969.0,95.0,last summer,6.9,2197,01/01/24 16:30,03/01/24
61,tt0064761,movie,One Brief Summer,One Brief Summer,1971.0,86.0,one brief summer,5.9,26,01/01/24 16:30,03/01/24
62,tt0064808,movie,The Picasso Summer,The Picasso Summer,1969.0,90.0,the picasso summer,5.2,380,01/01/24 16:30,03/01/24
63,tt0065618,movie,Dead of Summer,Ondata di calore,1970.0,89.0,dead of summer,6.3,121,01/01/24 16:30,03/01/24
64,tt0065701,movie,Erika's Hot Summer,Erika's Hot Summer,1971.0,65.0,erikas hot summer,4.1,111,01/01/24 16:30,03/01/24
65,tt0065973,movie,Summer Love,Le Mans scorciatoia per l'inferno,1970.0,92.0,summer love,4.7,77,01/01/24 16:30,03/01/24
66,tt0066421,movie,Summer in the City,Summer in the City,1971.0,116.0,summer in the city,5.8,349,01/01/24 16:30,03/01/24
67,tt0067028,movie,In the Summertime,Durante l'estate,1971.0,105.0,in the summertime,7.6,71,01/01/24 16:30,03/01/24
68,tt0067803,movie,Summer of '42,Summer of '42,1971.0,104.0,summer of 42,7.2,9228,01/01/24 16:30,03/01/24
69,tt0067804,movie,Summertree,Summertree,1971.0,88.0,summertree,5.7,380,01/01/24 16:30,03/01/24
70,tt0068992,movie,Dear Summer Sister,Natsu no imôto,1972.0,96.0,dear summer sister,6.3,224,01/01/24 16:30,03/01/24
71,tt0069120,movie,Indian Summer,La prima notte di quiete,1972.0,132.0,indian summer,7.2,2689,01/01/24 16:30,03/01/24
72,tt0069319,movie,Raid in the Summer,Strandhugg i somras,1972.0,88.0,raid in the summer,4.3,69,01/01/24 16:30,03/01/24
73,tt0069329,movie,Summer Soldiers,Samâ sorujâ,1972.0,107.0,summer soldiers,6.3,172,01/01/24 16:30,03/01/24
74,tt0069368,tvMovie,That Certain Summer,That Certain Summer,1972.0,73.0,that certain summer,7.7,499,01/01/24 16:30,04/01/24
75,tt0069457,movie,Summertime Killer,Un verano para matar,1972.0,110.0,summertime killer,6.0,465,01/01/24 16:30,04/01/24
76,tt0069807,movie,Blue Summer,Blue Summer,1973.0,79.0,blue summer,4.4,486,01/01/24 16:30,04/01/24
77,tt0069949,movie,One Russian Summer,Fury,1973.0,112.0,one russian summer,5.4,407,01/01/24 16:30,04/01/24
78,tt0070748,movie,"Summer Wishes, Winter Dreams","Summer Wishes, Winter Dreams",1973.0,93.0,summer wishes winter dreams,6.4,874,01/01/24 16:30,04/01/24
79,tt0070749,tvMovie,A Summer Without Boys,A Summer Without Boys,1973.0,74.0,a summer without boys,7.0,115,01/01/24 16:30,04/01/24
80,tt0070875,movie,Temptation in the Summer Wind,Versuchung im Sommerwind,1972.0,81.0,temptation in the summer wind,8.1,26,01/01/24 16:30,04/01/24
81,tt0071597,movie,Harrad Summer,Harrad Summer,1974.0,103.0,harrad summer,4.1,133,01/01/24 16:30,04/01/24
82,tt0071624,movie,Hot Summer in Barefoot County,Hot Summer in Barefoot County,1974.0,90.0,hot summer in barefoot county,3.6,229,01/01/24 16:30,04/01/24
83,tt0072173,movie,Malibu Hot Summer,Malibu Hot Summer,1981.0,90.0,malibu hot summer,2.7,871,01/01/24 16:30,04/01/24
84,tt0073730,movie,Summer Guests,Sommergäste,1976.0,115.0,summer guests,7.6,69,01/01/24 16:30,04/01/24
85,tt0073764,movie,Summer School Teachers,Summer School Teachers,1975.0,85.0,summer school teachers,4.4,335,01/01/24 16:30,04/01/24
86,tt0074459,movie,Echoes of a Summer,Echoes of a Summer,1976.0,99.0,echoes of a summer,6.4,489,01/01/24 16:30,04/01/24
87,tt0074790,movie,Summer with a Cowboy,Léto s kovbojem,1976.0,90.0,summer with a cowboy,6.7,227,01/01/24 16:30,04/01/24
88,tt0075282,movie,Summer of Secrets,Summer of Secrets,1976.0,100.0,summer of secrets,5.3,57,01/01/24 16:30,04/01/24
89,tt0075292,movie,Summer,Suvi,1976.0,81.0,summer,7.7,793,01/01/24 16:30,04/01/24
90,tt0076524,movie,Summer Paradise,Paradistorg,1977.0,113.0,summer paradise,6.0,153,01/01/24 16:30,04/01/24
91,tt0076765,movie,Shadows of a Hot Summer,Stíny horkého léta,1978.0,100.0,shadows of a hot summer,7.4,336,01/01/24 16:30,04/01/24
92,tt0076779,movie,Summer Affair,Il sole nella pelle,1971.0,91.0,summer affair,5.5,234,01/01/24 16:30,04/01/24
93,tt0076780,movie,Summer City,Summer City,1977.0,83.0,summer city,3.9,765,01/01/24 16:30,04/01/24
94,tt0076782,movie,Summerfield,Summerfield,1977.0,95.0,summerfield,6.8,415,01/01/24 17:30,04/01/24
95,tt0076816,tvMovie,Things We Did Last Summer,Things We Did Last Summer,1978.0,50.0,things we did last summer,6.8,121,01/01/24 17:30,04/01/24
96,tt0077152,movie,Almost Summer,Almost Summer,1978.0,88.0,almost summer,5.7,353,01/01/24 17:30,04/01/24
97,tt0077372,movie,Corvette Summer,Corvette Summer,1978.0,105.0,corvette summer,5.7,3933,01/01/24 17:30,04/01/24
