,Unnamed: 0_x,tconst,genres,Unnamed: 0_y,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
41,41,tt0048673,Romance,18,movie,Summertime,Summertime,1955.0,100.0,summertime,7.1,10166,01/01/24 14:30,01/01/24
42,42,tt0048771,Drama,19,movie,The Summer Wind Blows,Ute blåser sommarvind,1955.0,90.0,the summer wind blows,5.0,13,01/01/24 14:30,01/01/24
43,43,tt0049439,Comedy,20,movie,"Love, Summer and Music","Liebe, Sommer und Musik",1956.0,96.0,love summer and music,5.8,13,01/01/24 14:30,01/01/24
44,44,tt0049439,Music,20,movie,"Love, Summer and Music","Liebe, Sommer und Musik",1956.0,96.0,love summer and music,5.8,13,01/01/24 14:30,01/01/24
45,45,tt0049613,Drama,21,movie,No Ordinary Summer,Pervye radosti,1957.0,103.0,no ordinary summer,7.2,27,01/01/24 14:30,01/01/24
46,46,tt0049632,Drama,22,movie,Passionate Summer,Les possédées,1956.0,90.0,passionate summer,6.5,36,01/01/24 14:30,01/01/24
47,47,tt0050524,Crime,23,movie,Hot Summer Night,Hot Summer Night,1957.0,86.0,hot summer night,6.1,436,01/01/24 14:30,01/01/24
48,48,tt0050524,Drama,23,movie,Hot Summer Night,Hot Summer Night,1957.0,86.0,hot summer night,6.1,436,01/01/24 14:30,01/01/24
49,49,tt0050524,Film-Noir,23,movie,Hot Summer Night,Hot Summer Night,1957.0,86.0,hot summer night,6.1,436,01/01/24 14:30,01/01/24
50,50,tt0050994,Comedy,24,movie,Summer Place Wanted,Sommarnöje sökes,1957.0,98.0,summer place wanted,5.2,118,01/01/24 14:30,02/01/24
51,51,tt0050994,Drama,24,movie,Summer Place Wanted,Sommarnöje sökes,1957.0,98.0,summer place wanted,5.2,118,01/01/24 14:30,02/01/24
52,52,tt0050994,Romance,24,movie,Summer Place Wanted,Sommarnöje sökes,1957.0,98.0,summer place wanted,5.2,118,01/01/24 14:30,02/01/24
53,53,tt0051791,Drama,25,movie,Summer Clouds,Iwashigumo,1958.0,128.0,summer clouds,7.4,385,01/01/24 14:30,02/01/24
54,54,tt0051878,Drama,26,movie,"The Long, Hot Summer","The Long, Hot Summer",1958.0,115.0,the long hot summer,7.3,12523,01/01/24 14:30,02/01/24
55,55,tt0052037,Drama,27,movie,The Last Day of Summer,Ostatni dzien lata,1958.0,66.0,the last day of summer,6.9,727,01/01/24 14:30,02/01/24
56,56,tt0052037,Romance,27,movie,The Last Day of Summer,Ostatni dzien lata,1958.0,66.0,the last day of summer,6.9,727,01/01/24 14:30,02/01/24
57,57,tt0052258,Comedy,28,movie,Summer Love,Summer Love,1958.0,85.0,summer love,6.1,85,01/01/24 15:30,02/01/24
58,58,tt0052258,Musical,28,movie,Summer Love,Summer Love,1958.0,85.0,summer love,6.1,85,01/01/24 15:30,02/01/24
59,59,tt0052258,Romance,28,movie,Summer Love,Summer Love,1958.0,85.0,summer love,6.1,85,01/01/24 15:30,02/01/24
60,60,tt0052786,Drama,29,movie,Violent Summer,Estate violenta,1959.0,98.0,violent summer,7.3,1912,01/01/24 15:30,02/01/24
61,61,tt0052786,Romance,29,movie,Violent Summer,Estate violenta,1959.0,98.0,violent summer,7.3,1912,01/01/24 15:30,02/01/24
62,62,tt0052786,War,29,movie,Violent Summer,Estate violenta,1959.0,98.0,violent summer,7.3,1912,01/01/24 15:30,02/01/24
63,63,tt0052942,Documentary,30,movie,Jazz on a Summer's Day,Jazz on a Summer's Day,1959.0,88.0,jazz on a summers day,7.9,1972,01/01/24 15:30,02/01/24
64,64,tt0052942,Music,30,movie,Jazz on a Summer's Day,Jazz on a Summer's Day,1959.0,88.0,jazz on a summers day,7.9,1972,01/01/24 15:30,02/01/24
65,65,tt0053261,Animation,31,movie,A Midsummer Night's Dream,Sen noci svatojánské,1959.0,76.0,a midsummer nights dream,7.2,478,01/01/24 15:30,02/01/24
66,66,tt0053261,Comedy,31,movie,A Midsummer Night's Dream,Sen noci svatojánské,1959.0,76.0,a midsummer nights dream,7.2,478,01/01/24 15:30,02/01/24
67,67,tt0053261,Fantasy,31,movie,A Midsummer Night's Dream,Sen noci svatojánské,1959.0,76.0,a midsummer nights dream,7.2,478,01/01/24 15:30,02/01/24
68,68,tt0053292,Drama,32,movie,A Summer You Will Never Forget,"Ein Sommer, den man nie vergisst",1959.0,92.0,a summer you will never forget,5.1,39,01/01/24 15:30,02/01/24
69,69,tt0053292,Romance,32,movie,A Summer You Will Never Forget,"Ein Sommer, den man nie vergisst",1959.0,92.0,a summer you will never forget,5.1,39,01/01/24 15:30,02/01/24
70,70,tt0053318,Drama,33,movie,"Suddenly, Last Summer","Suddenly, Last Summer",1959.0,114.0,suddenly last summer,7.5,17496,01/01/24 15:30,02/01/24
71,71,tt0053318,Mystery,33,movie,"Suddenly, Last Summer","Suddenly, Last Summer",1959.0,114.0,suddenly last summer,7.5,17496,01/01/24 15:30,02/01/24
72,72,tt0053318,Thriller,33,movie,"Suddenly, Last Summer","Suddenly, Last Summer",1959.0,114.0,suddenly last summer,7.5,17496,01/01/24 15:30,02/01/24
73,73,tt0053320,Drama,34,movie,A Summer Place,A Summer Place,1959.0,130.0,a summer place,6.9,3920,01/01/24 15:30,02/01/24
74,74,tt0053320,Romance,34,movie,A Summer Place,A Summer Place,1959.0,130.0,a summer place,6.9,3920,01/01/24 15:30,02/01/24
75,75,tt0053395,Comedy,35,movie,A Mistress for the Summer,Une fille pour l'été,1960.0,80.0,a mistress for the summer,6.1,40,01/01/24 15:30,02/01/24
76,76,tt0054745,Documentary,36,movie,Chronicle of a Summer,Chronique d'un été (Paris 1960),1961.0,85.0,chronicle of a summer,7.5,3638,01/01/24 15:30,02/01/24
77,77,tt0054745,History,36,movie,Chronicle of a Summer,Chronique d'un été (Paris 1960),1961.0,85.0,chronicle of a summer,7.5,3638,01/01/24 15:30,02/01/24
78,78,tt0055052,Drama,37,movie,The End of Summer,Kohayagawa-ke no aki,1961.0,103.0,the end of summer,7.7,4556,01/01/24 15:30,02/01/24
79,79,tt0055299,Drama,38,movie,Summerskin,Piel de verano,1961.0,96.0,summerskin,6.9,90,01/01/24 15:30,02/01/24
80,80,tt0055489,Drama,39,movie,Summer and Smoke,Summer and Smoke,1961.0,118.0,summer and smoke,6.8,2092,01/01/24 15:30,02/01/24
81,81,tt0055489,Romance,39,movie,Summer and Smoke,Summer and Smoke,1961.0,118.0,summer and smoke,6.8,2092,01/01/24 15:30,02/01/24
82,82,tt0056153,Drama,40,movie,Short Is the Summer,Kort är sommaren,1962.0,110.0,short is the summer,5.6,71,01/01/24 15:30,02/01/24
83,83,tt0057074,Comedy,41,movie,Summer Frenzy,Frenesia dell'estate,1964.0,100.0,summer frenzy,6.1,114,01/01/24 15:30,02/01/24
84,84,tt0057541,Comedy,42,movie,Summer Holiday,Summer Holiday,1963.0,107.0,summer holiday,6.1,1852,01/01/24 15:30,02/01/24
