,tconst,genres
260,tt0092678,Drama
261,tt0092678,Romance
262,tt0093516,Comedy
263,tt0093516,Fantasy
264,tt0093516,Romance
265,tt0093650,Comedy
266,tt0094070,Drama
267,tt0094070,Horror
268,tt0094070,Thriller
269,tt0094071,Drama
270,tt0094072,Comedy
271,tt0094072,Romance
272,tt0094318,Adventure
273,tt0094318,Drama
274,tt0094595,Drama
275,tt0094595,Fantasy
276,tt0094595,Mystery
277,tt0094637,Comedy
278,tt0094637,Drama
279,tt0094795,Action
280,tt0095280,Biography
281,tt0095280,Drama
282,tt0095280,Romance
283,tt0095433,Biography
284,tt0095433,Drama
285,tt0095441,Action
286,tt0095441,Crime
287,tt0095441,Drama
288,tt0095920,Drama
289,tt0096036,Drama
290,tt0096137,Drama
291,tt0096189,Drama
292,tt0096189,Romance
293,tt0096190,Comedy
294,tt0097160,Comedy
295,tt0097160,Drama
296,tt0097765,Mystery
297,tt0098411,Comedy
298,tt0098463,Drama
299,tt0098463,War
300,tt0098587,Drama
301,tt0098587,Family
302,tt0098623,Drama
303,tt0098623,Romance
304,tt0100277,Drama
305,tt0100277,Romance
306,tt0100715,Biography
307,tt0100715,Drama
308,tt0100715,Music
309,tt0101328,Comedy
310,tt0101328,Drama
311,tt0101449,Comedy
312,tt0101449,Romance
313,tt0101985,Crime
314,tt0101985,Drama
315,tt0101985,Romance
316,tt0102878,Drama
317,tt0102878,Romance
318,tt0102907,
319,tt0103005,Drama
320,tt0103813,Comedy
321,tt0103997,Comedy
322,tt0103997,Sport
323,tt0105801,Comedy
324,tt0105853,Comedy
325,tt0105853,Romance
326,tt0106991,Drama
327,tt0107212,Comedy
328,tt0107212,Drama
329,tt0107212,Romance
330,tt0107496,
331,tt0107743,Drama
332,tt0107743,History
333,tt0107743,Sport
334,tt0108252,Comedy
335,tt0108252,Family
336,tt0109549,Drama
337,tt0109620,Crime
338,tt0109620,Drama
339,tt0109729,Adventure
340,tt0109729,Documentary
341,tt0109729,Sport
342,tt0110168,Comedy
343,tt0110168,Family
344,tt0111312,Comedy
345,tt0111312,Family
346,tt0111546,Drama
347,tt0111546,Romance
348,tt0111546,War
349,tt0111767,Comedy
350,tt0111767,Drama
351,tt0113612,Comedy
352,tt0113612,Drama
353,tt0114775,Comedy
354,tt0114775,Drama
355,tt0115940,Comedy
356,tt0115940,Drama
357,tt0115940,Romance
358,tt0115961,Action
359,tt0115961,Adventure
360,tt0116200,Drama
361,tt0116200,Romance
362,tt0116686,Documentary
363,tt0117043,Comedy
364,tt0117043,Romance
365,tt0117085,Documentary
366,tt0117310,Biography
367,tt0117310,Documentary
368,tt0117779,Comedy
369,tt0117779,Drama
370,tt0117780,Drama
371,tt0117780,Horror
372,tt0117780,Mystery
373,tt0118720,Comedy
374,tt0119345,Horror
375,tt0119345,Mystery
376,tt0122078,Crime
377,tt0122078,Drama
378,tt0122078,Romance
379,tt0122181,Comedy
380,tt0122181,Drama
381,tt0122181,Romance
382,tt0123945,Drama
383,tt0123945,War
384,tt0125449,Drama
385,tt0128648,Adventure
386,tt0128648,Drama
387,tt0130018,Horror
388,tt0130018,Mystery
389,tt0130018,Thriller
390,tt0131432,Comedy
391,tt0133893,Comedy
392,tt0133893,Drama
393,tt0134148,Drama
394,tt0134719,Comedy
395,tt0137618,Comedy
396,tt0137618,Romance
397,tt0137875,Drama
398,tt0137875,Romance
399,tt0139684,Drama
400,tt0140379,Comedy
401,tt0140379,Fantasy
402,tt0140379,Romance
403,tt0140944,Comedy
404,tt0140944,Drama
405,tt0143350,Comedy
406,tt0143350,Drama
407,tt0144397,Comedy
408,tt0144397,Romance
409,tt0144397,Sport
410,tt0145942,Crime
411,tt0145942,Drama
412,tt0157391,Drama
413,tt0160865,Adventure
414,tt0160865,Animation
415,tt0160865,Comedy
416,tt0162677,Crime
417,tt0162677,Drama
418,tt0162677,Romance
419,tt0163264,Adventure
420,tt0168123,Comedy
421,tt0168123,Music
422,tt0168198,Drama
423,tt0168198,Romance
424,tt0171296,Documentary
425,tt0171747,Drama
426,tt0173151,Drama
427,tt0174246,Drama
428,tt0174507,Drama
429,tt0175820,Biography
430,tt0176164,Fantasy
431,tt0179328,Romance
432,tt0179479,
433,tt0180834,Comedy
434,tt0183320,Drama
435,tt0187852,Comedy
436,tt0187852,Drama
437,tt0187852,Romance
438,tt0188214,Drama
439,tt0189660,Drama
440,tt0192644,Drama
441,tt0192644,Family
442,tt0193537,Comedy
443,tt0193537,Romance
444,tt0195517,Drama
445,tt0195517,Family
446,tt0195517,Sci-Fi
447,tt0202618,
448,tt0204342,
449,tt0204932,Comedy
450,tt0204932,Drama
451,tt0204932,Family
452,tt0210654,Animation
453,tt0210654,Family
454,tt0214555,Action
455,tt0214555,Crime
456,tt0214555,Drama
457,tt0215519,Drama
458,tt0217066,Drama
459,tt0218643,Crime
460,tt0218643,Drama
461,tt0218932,Biography
462,tt0218932,Drama
463,tt0218932,History
464,tt0220077,
465,tt0221249,Comedy
466,tt0221249,Drama
467,tt0221249,Music
468,tt0226121,Crime
469,tt0226121,Drama
470,tt0226121,Horror
471,tt0228584,Drama
472,tt0234829,Comedy
473,tt0234829,Drama
474,tt0234829,Romance
475,tt0241972,Comedy
476,tt0241972,Drama
477,tt0241972,Family
478,tt0242916,Drama
479,tt0242916,Music
480,tt0242916,Romance
481,tt0243315,Documentary
